"AHash","Rel","Split","Class","Base"
"0000111111000001100000001011100010111000000000000100000001100001","test\black_spot\local_DataSet_Image_000000_Black_spot(405).jpg","test","black_spot","local_DataSet_Image_000000_Black_spot(405)"
"1111111111000011100000011001000010000000100000001100000011110001","test\black_spot\local_DataSet_Image_000001_Black_spot(716).jpg","test","black_spot","local_DataSet_Image_000001_Black_spot(716)"
"1111111111100001110000001000000000000100000000001000000111000011","test\black_spot\local_DataSet_Image_000002_Black_spot(834).jpg","test","black_spot","local_DataSet_Image_000002_Black_spot(834)"
"0000111001101011110100011101100010010000000000000100000001110001","test\black_spot\local_DataSet_Image_000003_Black_spot(1124).jpg","test","black_spot","local_DataSet_Image_000003_Black_spot(1124)"
"0111100001000011000000010001111000011110000011001000100111000011","test\black_spot\local_DataSet_Image_000004_Black_spot(285).jpg","test","black_spot","local_DataSet_Image_000004_Black_spot(285)"
"1100011111000001100000001000000010010100100000101000100111101011","test\black_spot\local_DataSet_Image_000005_Black_spot(929).jpg","test","black_spot","local_DataSet_Image_000005_Black_spot(929)"
"1111111111100001110000011000100010010000100000001000000011000001","test\black_spot\local_DataSet_Image_000006_Black_spot(212).jpg","test","black_spot","local_DataSet_Image_000006_Black_spot(212)"
"0111100001100011000010010001110110011110100011101000010111100001","test\black_spot\local_DataSet_Image_000007_Black_spot(290).jpg","test","black_spot","local_DataSet_Image_000007_Black_spot(290)"
"0001111000100000100001111000111000001110100001010000101100111110","test\black_spot\local_DataSet_Image_000008_Black_spot(532).jpg","test","black_spot","local_DataSet_Image_000008_Black_spot(532)"
"1111111111000001100000011000000010000100100000001100000111100011","test\black_spot\local_DataSet_Image_000009_Black_spot(1062).jpg","test","black_spot","local_DataSet_Image_000009_Black_spot(1062)"
"0111100001110011010000010001000010111000100000001000000111000011","test\black_spot\local_DataSet_Image_000010_Black_spot(494).jpg","test","black_spot","local_DataSet_Image_000010_Black_spot(494)"
"0001110000111110010111111011111110111110100001100000000000000000","test\black_spot\local_DataSet_Image_000011_Black_spot(313).jpg","test","black_spot","local_DataSet_Image_000011_Black_spot(313)"
"1111111111000011100000010000000000000100000001001000000011000001","test\black_spot\local_DataSet_Image_000012_Black_spot(856).jpg","test","black_spot","local_DataSet_Image_000012_Black_spot(856)"
"0011100000111110010011110001111110011110100111011000100100000010","test\black_spot\local_DataSet_Image_000013_Black_spot(371).jpg","test","black_spot","local_DataSet_Image_000013_Black_spot(371)"
"0111110001110011010000000001100010001000100000001100000111000001","test\black_spot\local_DataSet_Image_000014_Black_spot(399).jpg","test","black_spot","local_DataSet_Image_000014_Black_spot(399)"
"1111111111110001110000001000000010010000100000001000000011000011","test\black_spot\local_DataSet_Image_000015_Black_spot(725).jpg","test","black_spot","local_DataSet_Image_000015_Black_spot(725)"
"1111111111000001110000001000000010000000100100001100000111100011","test\black_spot\local_DataSet_Image_000016_Black_spot(975).jpg","test","black_spot","local_DataSet_Image_000016_Black_spot(975)"
"1111111111100001100000001000000000000100000000001000000111000111","test\black_spot\local_DataSet_Image_000017_Black_spot(1202).jpg","test","black_spot","local_DataSet_Image_000017_Black_spot(1202)"
"0111100001100001010000010000111010001110100011001000000111000011","test\black_spot\local_DataSet_Image_000018_Black_spot(297).jpg","test","black_spot","local_DataSet_Image_000018_Black_spot(297)"
"0011100001000001000000000000110010011110100111111101110101111111","test\black_spot\local_DataSet_Image_000019_Black_spot(477).jpg","test","black_spot","local_DataSet_Image_000019_Black_spot(477)"
"1111111111100011100000011000000110000000100000001000000111100011","test\black_spot\local_DataSet_Image_000020_Black_spot(893).jpg","test","black_spot","local_DataSet_Image_000020_Black_spot(893)"
"1111111111000001100000001000010010001100100000001000000111000001","test\black_spot\local_DataSet_Image_000021_Black_spot(1107).jpg","test","black_spot","local_DataSet_Image_000021_Black_spot(1107)"
"0000111001111111110111111001111110111100000011000000000100000001","test\black_spot\local_DataSet_Image_000022_Black_spot(321).jpg","test","black_spot","local_DataSet_Image_000022_Black_spot(321)"
"0001111000000010100000011000011110000111100111110001111100001110","test\black_spot\local_DataSet_Image_000023_Black_spot(217).jpg","test","black_spot","local_DataSet_Image_000023_Black_spot(217)"
"0011110000000000000011101001110010111111100111111111111100101110","test\black_spot\local_DataSet_Image_000024_Black_spot(461).jpg","test","black_spot","local_DataSet_Image_000024_Black_spot(461)"
"0011100001000011000000010000111000001110000011101000011101100111","test\black_spot\local_DataSet_Image_000025_Black_spot(281).jpg","test","black_spot","local_DataSet_Image_000025_Black_spot(281)"
"0011100001000011010000110000000110001001100110011000100101000001","test\black_spot\local_DataSet_Image_000026_Black_spot(577).jpg","test","black_spot","local_DataSet_Image_000026_Black_spot(577)"
"1111111111000001100000000000000000000110100001101000000011100011","test\black_spot\local_DataSet_Image_000027_Black_spot(1216).jpg","test","black_spot","local_DataSet_Image_000027_Black_spot(1216)"
"1111111111000011100000011000000010000000100000001100000011100000","test\black_spot\local_DataSet_Image_000028_Black_spot(237).jpg","test","black_spot","local_DataSet_Image_000028_Black_spot(237)"
"1111111111000001100000011000000010000000100000011000000111100011","test\black_spot\local_DataSet_Image_000029_Black_spot(1210).jpg","test","black_spot","local_DataSet_Image_000029_Black_spot(1210)"
"0000111000110110111011011101101011101100000111000000000100000000","test\black_spot\local_DataSet_Image_000030_Black_spot(330).jpg","test","black_spot","local_DataSet_Image_000030_Black_spot(330)"
"1111001111000001100000001000000010010000100000001100000111100011","test\black_spot\local_DataSet_Image_000031_Black_spot(980).jpg","test","black_spot","local_DataSet_Image_000031_Black_spot(980)"
"1111111111100111100000011000000010010000100000001100000011100011","test\black_spot\local_DataSet_Image_000032_Black_spot(727).jpg","test","black_spot","local_DataSet_Image_000032_Black_spot(727)"
"1111111111100011100000001000000010011000100000001100000011110011","test\black_spot\local_DataSet_Image_000033_Black_spot(722).jpg","test","black_spot","local_DataSet_Image_000033_Black_spot(722)"
