"AHash","Count","Splits","Classes","Files"
"1111111111000001110000001000000010000000100100001100000111100011","3","test|train","black_spot","test\black_spot\local_DataSet_Image_000016_Black_spot(975).jpg || train\black_spot\aug_000441_local_DataSet_Image_000448_Black_spot(923).jpg || train\black_spot\local_DataSet_Image_000448_Black_spot(923).jpg"
"1111111111100011100000011000000110000000100000001000000111100011","2","test","black_spot","test\black_spot\local_DataSet_Image_000020_Black_spot(893).jpg || test\black_spot\local_DataSet_Image_000124_Black_spot(131).jpg"
"1111111111000011100000011000000010000000100000001100000011100000","3","test|train|valid","black_spot","test\black_spot\local_DataSet_Image_000028_Black_spot(237).jpg || train\black_spot\aug_000148_local_DataSet_Image_000370_Black_spot(863).jpg || valid\black_spot\local_DataSet_Image_000112_Black_spot(1225).jpg"
"1111111111000001100000001000000010011000100000001000000011000000","2","test|train","black_spot","test\black_spot\local_DataSet_Image_000083_Black_spot(755).jpg || train\black_spot\local_DataSet_Image_000702_Black_spot(224).jpg"
"1111111111100011110000011000000010010000100000001000000011000001","9","test|train","black_spot|canker","test\black_spot\local_DataSet_Image_000094_Black_spot(1232).jpg || train\black_spot\local_DataSet_Image_000251_Black_spot(155).jpg || train\black_spot\local_DataSet_Image_000252_Black_spot(231).jpg || train\black_spot\local_DataSet_Image_000525_Black_spot(1113).jpg || train\black_spot\local_DataSet_Image_000844_Black_spot(1228).jpg || train\canker\aug_000586_local_DataSet_Image_000889_Canker(887).jpg || train\canker\local_DataSet_Image_000888_Canker(1079).jpg || train\canker\local_DataSet_Image_000889_Canker(887).jpg"
"1111111111000011100000011000000010000000100000001100000011100001","4","test|train","black_spot","test\black_spot\local_DataSet_Image_000127_Black_spot(723).jpg || test\black_spot\local_DataSet_Image_000156_Black_spot(1214).jpg || train\black_spot\aug_000136_local_DataSet_Image_000271_Black_spot(1054).jpg || train\black_spot\local_DataSet_Image_000820_Black_spot(737).jpg"
"1111111111100011100000001000000010010000100000001000000011000011","3","test|train","black_spot|canker","test\black_spot\local_DataSet_Image_000131_Black_spot(1174).jpg || train\canker\local_DataSet_Image_001048_Canker(680).jpg || train\canker\local_DataSet_Image_001049_Canker(684).jpg"
"1111111111000011100000001001000010010000100000001100000011100001","2","test|train","black_spot","test\black_spot\local_DataSet_Image_000132_Black_spot(842).jpg || train\black_spot\aug_000269_local_DataSet_Image_000225_Black_spot(13).jpg"
"1111111111000000100000001000000010000000100000001100000011100011","2","test|train","black_spot|canker","test\black_spot\local_DataSet_Image_000133_Black_spot(1000).jpg || train\canker\local_DataSet_Image_001472_Canker(662).jpg"
"1111111111000001100000001000000010010000100000001100000011100011","3","test|train","black_spot|canker","test\black_spot\local_DataSet_Image_000136_Black_spot(900).jpg || train\black_spot\local_DataSet_Image_000731_Black_spot(907).jpg || train\canker\local_DataSet_Image_001593_Canker(683).jpg"
