"Rel","Split","Class","Ext","Bytes","Readable","W","H","Pix","Mean","Std"
"preprocessing.json","preprocessing.json",,".json","1286","False","0","0","","0","0"
"test\black_spot\local_DataSet_Image_000000_Black_spot(405).jpg","test","black_spot",".jpg","17532","True","224","224","Format24bppRgb","89,95","50,92"
"test\black_spot\local_DataSet_Image_000001_Black_spot(716).jpg","test","black_spot",".jpg","15663","True","224","224","Format24bppRgb","117,82","56"
"test\black_spot\local_DataSet_Image_000002_Black_spot(834).jpg","test","black_spot",".jpg","16559","True","224","224","Format24bppRgb","132,06","59,34"
"test\black_spot\local_DataSet_Image_000003_Black_spot(1124).jpg","test","black_spot",".jpg","16534","True","224","224","Format24bppRgb","91,31","58,91"
"test\black_spot\local_DataSet_Image_000004_Black_spot(285).jpg","test","black_spot",".jpg","16678","True","224","224","Format24bppRgb","85,08","50,38"
"test\black_spot\local_DataSet_Image_000005_Black_spot(929).jpg","test","black_spot",".jpg","17319","True","224","224","Format24bppRgb","108,31","49,09"
"test\black_spot\local_DataSet_Image_000006_Black_spot(212).jpg","test","black_spot",".jpg","15714","True","224","224","Format24bppRgb","107,85","52,36"
"test\black_spot\local_DataSet_Image_000007_Black_spot(290).jpg","test","black_spot",".jpg","17347","True","224","224","Format24bppRgb","84,49","49,03"
"test\black_spot\local_DataSet_Image_000008_Black_spot(532).jpg","test","black_spot",".jpg","17198","True","224","224","Format24bppRgb","76,86","54,6"
"test\black_spot\local_DataSet_Image_000009_Black_spot(1062).jpg","test","black_spot",".jpg","16514","True","224","224","Format24bppRgb","105,02","51,32"
"test\black_spot\local_DataSet_Image_000010_Black_spot(494).jpg","test","black_spot",".jpg","16757","True","224","224","Format24bppRgb","117,08","56,64"
"test\black_spot\local_DataSet_Image_000011_Black_spot(313).jpg","test","black_spot",".jpg","18984","True","224","224","Format24bppRgb","92,56","61,31"
"test\black_spot\local_DataSet_Image_000012_Black_spot(856).jpg","test","black_spot",".jpg","17350","True","224","224","Format24bppRgb","103,78","51,66"
"test\black_spot\local_DataSet_Image_000013_Black_spot(371).jpg","test","black_spot",".jpg","17830","True","224","224","Format24bppRgb","76,26","54,36"
"test\black_spot\local_DataSet_Image_000014_Black_spot(399).jpg","test","black_spot",".jpg","15975","True","224","224","Format24bppRgb","104,87","56,34"
"test\black_spot\local_DataSet_Image_000015_Black_spot(725).jpg","test","black_spot",".jpg","16092","True","224","224","Format24bppRgb","137,61","58,04"
"test\black_spot\local_DataSet_Image_000016_Black_spot(975).jpg","test","black_spot",".jpg","15393","True","224","224","Format24bppRgb","121,69","52,66"
"test\black_spot\local_DataSet_Image_000017_Black_spot(1202).jpg","test","black_spot",".jpg","16082","True","224","224","Format24bppRgb","135,96","55,92"
"test\black_spot\local_DataSet_Image_000018_Black_spot(297).jpg","test","black_spot",".jpg","17002","True","224","224","Format24bppRgb","94,09","50,18"
"test\black_spot\local_DataSet_Image_000019_Black_spot(477).jpg","test","black_spot",".jpg","17763","True","224","224","Format24bppRgb","80,12","50,08"
"test\black_spot\local_DataSet_Image_000020_Black_spot(893).jpg","test","black_spot",".jpg","15294","True","224","224","Format24bppRgb","108,26","55,15"
"test\black_spot\local_DataSet_Image_000021_Black_spot(1107).jpg","test","black_spot",".jpg","16066","True","224","224","Format24bppRgb","97,98","43,99"
"test\black_spot\local_DataSet_Image_000022_Black_spot(321).jpg","test","black_spot",".jpg","18853","True","224","224","Format24bppRgb","101,08","61,45"
"test\black_spot\local_DataSet_Image_000023_Black_spot(217).jpg","test","black_spot",".jpg","17316","True","224","224","Format24bppRgb","75,56","55,77"
"test\black_spot\local_DataSet_Image_000024_Black_spot(461).jpg","test","black_spot",".jpg","16956","True","224","224","Format24bppRgb","71,16","44,49"
"test\black_spot\local_DataSet_Image_000025_Black_spot(281).jpg","test","black_spot",".jpg","17847","True","224","224","Format24bppRgb","82,33","55,24"
"test\black_spot\local_DataSet_Image_000026_Black_spot(577).jpg","test","black_spot",".jpg","17419","True","224","224","Format24bppRgb","88,77","56,37"
"test\black_spot\local_DataSet_Image_000027_Black_spot(1216).jpg","test","black_spot",".jpg","17104","True","224","224","Format24bppRgb","108,59","52,63"
"test\black_spot\local_DataSet_Image_000028_Black_spot(237).jpg","test","black_spot",".jpg","16542","True","224","224","Format24bppRgb","127,21","49,85"
"test\black_spot\local_DataSet_Image_000029_Black_spot(1210).jpg","test","black_spot",".jpg","15262","True","224","224","Format24bppRgb","107,71","54,29"
"test\black_spot\local_DataSet_Image_000030_Black_spot(330).jpg","test","black_spot",".jpg","17753","True","224","224","Format24bppRgb","83,04","59,4"
"test\black_spot\local_DataSet_Image_000031_Black_spot(980).jpg","test","black_spot",".jpg","16488","True","224","224","Format24bppRgb","123,6","51,87"
"test\black_spot\local_DataSet_Image_000032_Black_spot(727).jpg","test","black_spot",".jpg","15671","True","224","224","Format24bppRgb","119,27","59,43"
"test\black_spot\local_DataSet_Image_000033_Black_spot(722).jpg","test","black_spot",".jpg","16311","True","224","224","Format24bppRgb","128,2","54,68"
"test\black_spot\local_DataSet_Image_000034_Black_spot(605).jpg","test","black_spot",".jpg","17109","True","224","224","Format24bppRgb","91,96","50,63"
"test\black_spot\local_DataSet_Image_000035_Black_spot(201).jpg","test","black_spot",".jpg","14124","True","224","224","Format24bppRgb","128,78","58,69"
"test\black_spot\local_DataSet_Image_000036_Black_spot(320).jpg","test","black_spot",".jpg","17073","True","224","224","Format24bppRgb","124,76","69,91"
"test\black_spot\local_DataSet_Image_000037_Black_spot(451).jpg","test","black_spot",".jpg","18538","True","224","224","Format24bppRgb","66,52","49,02"
"test\black_spot\local_DataSet_Image_000038_Black_spot(667).jpg","test","black_spot",".jpg","16189","True","224","224","Format24bppRgb","81,48","55,43"
"test\black_spot\local_DataSet_Image_000039_Black_spot(817).jpg","test","black_spot",".jpg","15018","True","224","224","Format24bppRgb","107,47","57,85"
"test\black_spot\local_DataSet_Image_000040_Black_spot(257).jpg","test","black_spot",".jpg","15919","True","224","224","Format24bppRgb","91,34","61,07"
"test\black_spot\local_DataSet_Image_000041_Black_spot(656).jpg","test","black_spot",".jpg","18620","True","224","224","Format24bppRgb","79,67","52,09"
"test\black_spot\local_DataSet_Image_000042_Black_spot(653).jpg","test","black_spot",".jpg","15728","True","224","224","Format24bppRgb","92,23","62,41"
"test\black_spot\local_DataSet_Image_000043_Black_spot(1023).jpg","test","black_spot",".jpg","15685","True","224","224","Format24bppRgb","110,41","55,23"
"test\black_spot\local_DataSet_Image_000044_Black_spot(574).jpg","test","black_spot",".jpg","17083","True","224","224","Format24bppRgb","100,91","65,86"
"test\black_spot\local_DataSet_Image_000045_Black_spot(791).jpg","test","black_spot",".jpg","18169","True","224","224","Format24bppRgb","102,31","57,38"
"test\black_spot\local_DataSet_Image_000046_Black_spot(999).jpg","test","black_spot",".jpg","16932","True","224","224","Format24bppRgb","115,42","53,27"
"test\black_spot\local_DataSet_Image_000047_Black_spot(261).jpg","test","black_spot",".jpg","16914","True","224","224","Format24bppRgb","74,13","53,93"
"test\black_spot\local_DataSet_Image_000048_Black_spot(1196).jpg","test","black_spot",".jpg","16104","True","224","224","Format24bppRgb","121,2","55,3"
"test\black_spot\local_DataSet_Image_000049_Black_spot(1102).jpg","test","black_spot",".jpg","17100","True","224","224","Format24bppRgb","118,97","56,53"
"test\black_spot\local_DataSet_Image_000050_Black_spot(802).jpg","test","black_spot",".jpg","16615","True","224","224","Format24bppRgb","102,05","55,23"
"test\black_spot\local_DataSet_Image_000051_Black_spot(1175).jpg","test","black_spot",".jpg","15926","True","224","224","Format24bppRgb","120,09","53,54"
"test\black_spot\local_DataSet_Image_000052_Black_spot(1173).jpg","test","black_spot",".jpg","17303","True","224","224","Format24bppRgb","102,87","50,2"
"test\black_spot\local_DataSet_Image_000053_Black_spot(630).jpg","test","black_spot",".jpg","17807","True","224","224","Format24bppRgb","75,74","54,04"
"test\black_spot\local_DataSet_Image_000054_Black_spot(684).jpg","test","black_spot",".jpg","16431","True","224","224","Format24bppRgb","89,27","53,67"
"test\black_spot\local_DataSet_Image_000055_Black_spot(547).jpg","test","black_spot",".jpg","17969","True","224","224","Format24bppRgb","76,69","53,52"
"test\black_spot\local_DataSet_Image_000056_Black_spot(215).jpg","test","black_spot",".jpg","16642","True","224","224","Format24bppRgb","112,06","58,28"
"test\black_spot\local_DataSet_Image_000057_Black_spot(967).jpg","test","black_spot",".jpg","15752","True","224","224","Format24bppRgb","109,21","51,89"
"test\black_spot\local_DataSet_Image_000058_Black_spot(1030).jpg","test","black_spot",".jpg","14988","True","224","224","Format24bppRgb","136,9","56,36"
"test\black_spot\local_DataSet_Image_000059_Black_spot(868).jpg","test","black_spot",".jpg","16544","True","224","224","Format24bppRgb","118,63","58,34"
"test\black_spot\local_DataSet_Image_000060_Black_spot(342).jpg","test","black_spot",".jpg","17007","True","224","224","Format24bppRgb","83,5","51,2"
"test\black_spot\local_DataSet_Image_000061_Black_spot(1125).jpg","test","black_spot",".jpg","16014","True","224","224","Format24bppRgb","123,99","54,27"
"test\black_spot\local_DataSet_Image_000062_Black_spot(1039).jpg","test","black_spot",".jpg","15376","True","224","224","Format24bppRgb","107,32","50,99"
"test\black_spot\local_DataSet_Image_000063_Black_spot(917).jpg","test","black_spot",".jpg","14255","True","224","224","Format24bppRgb","116,55","50,6"
"test\black_spot\local_DataSet_Image_000064_Black_spot(254).jpg","test","black_spot",".jpg","15879","True","224","224","Format24bppRgb","89,39","56,69"
"test\black_spot\local_DataSet_Image_000065_Black_spot(1151).jpg","test","black_spot",".jpg","16940","True","224","224","Format24bppRgb","102,58","52,47"
"test\black_spot\local_DataSet_Image_000066_Black_spot(1110).jpg","test","black_spot",".jpg","15127","True","224","224","Format24bppRgb","105,18","48,36"
"test\black_spot\local_DataSet_Image_000067_Black_spot(205).jpg","test","black_spot",".jpg","16741","True","224","224","Format24bppRgb","88,18","59,44"
"test\black_spot\local_DataSet_Image_000068_Black_spot(813).jpg","test","black_spot",".jpg","17075","True","224","224","Format24bppRgb","101,11","57,54"
"test\black_spot\local_DataSet_Image_000069_Black_spot(476).jpg","test","black_spot",".jpg","17265","True","224","224","Format24bppRgb","83,84","49,46"
"test\black_spot\local_DataSet_Image_000070_Black_spot(192).jpg","test","black_spot",".jpg","31260","True","224","224","Format24bppRgb","104,78","49,65"
"test\black_spot\local_DataSet_Image_000071_Black_spot(899).jpg","test","black_spot",".jpg","18077","True","224","224","Format24bppRgb","99,06","49,59"
"test\black_spot\local_DataSet_Image_000072_Black_spot(896).jpg","test","black_spot",".jpg","16428","True","224","224","Format24bppRgb","104,66","52,85"
"test\black_spot\local_DataSet_Image_000073_Black_spot(469).jpg","test","black_spot",".jpg","17367","True","224","224","Format24bppRgb","75,06","50,79"
"test\black_spot\local_DataSet_Image_000074_Black_spot(562).jpg","test","black_spot",".jpg","17193","True","224","224","Format24bppRgb","79,19","49,98"
"test\black_spot\local_DataSet_Image_000075_Black_spot(1068).jpg","test","black_spot",".jpg","16947","True","224","224","Format24bppRgb","83,64","51,24"
"test\black_spot\local_DataSet_Image_000076_Black_spot(206).jpg","test","black_spot",".jpg","15993","True","224","224","Format24bppRgb","91,47","56,36"
"test\black_spot\local_DataSet_Image_000077_Black_spot(853).jpg","test","black_spot",".jpg","16548","True","224","224","Format24bppRgb","126,66","49,41"
"test\black_spot\local_DataSet_Image_000078_Black_spot(452).jpg","test","black_spot",".jpg","17117","True","224","224","Format24bppRgb","67,98","48,28"
"test\black_spot\local_DataSet_Image_000079_Black_spot(1077).jpg","test","black_spot",".jpg","14867","True","224","224","Format24bppRgb","122,96","46,09"
"test\black_spot\local_DataSet_Image_000080_Black_spot(534).jpg","test","black_spot",".jpg","16908","True","224","224","Format24bppRgb","76,37","52,09"
"test\black_spot\local_DataSet_Image_000081_Black_spot(507).jpg","test","black_spot",".jpg","17710","True","224","224","Format24bppRgb","100,58","58,34"
"test\black_spot\local_DataSet_Image_000082_Black_spot(1230).jpg","test","black_spot",".jpg","15205","True","224","224","Format24bppRgb","107,51","50,94"
"test\black_spot\local_DataSet_Image_000083_Black_spot(755).jpg","test","black_spot",".jpg","15049","True","224","224","Format24bppRgb","95,48","48,02"
"test\black_spot\local_DataSet_Image_000084_Black_spot(795).jpg","test","black_spot",".jpg","16280","True","224","224","Format24bppRgb","95,68","48,21"
"test\black_spot\local_DataSet_Image_000085_Black_spot(840).jpg","test","black_spot",".jpg","16312","True","224","224","Format24bppRgb","98,48","47,02"
"test\black_spot\local_DataSet_Image_000086_Black_spot(221).jpg","test","black_spot",".jpg","16279","True","224","224","Format24bppRgb","101,16","52,02"
"test\black_spot\local_DataSet_Image_000087_Black_spot(518).jpg","test","black_spot",".jpg","16457","True","224","224","Format24bppRgb","118,24","62,9"
"test\black_spot\local_DataSet_Image_000088_Black_spot(668).jpg","test","black_spot",".jpg","18487","True","224","224","Format24bppRgb","89,09","54,48"
"test\black_spot\local_DataSet_Image_000089_Black_spot(925).jpg","test","black_spot",".jpg","15057","True","224","224","Format24bppRgb","106,77","57,33"
"test\black_spot\local_DataSet_Image_000090_Black_spot(193).jpg","test","black_spot",".jpg","32290","True","224","224","Format24bppRgb","70,82","50,74"
"test\black_spot\local_DataSet_Image_000091_Black_spot(302).jpg","test","black_spot",".jpg","18284","True","224","224","Format24bppRgb","76,6","52,4"
"test\black_spot\local_DataSet_Image_000092_Black_spot(864).jpg","test","black_spot",".jpg","15646","True","224","224","Format24bppRgb","109,56","54,55"
"test\black_spot\local_DataSet_Image_000093_Black_spot(700).jpg","test","black_spot",".jpg","16407","True","224","224","Format24bppRgb","102,61","51,69"
"test\black_spot\local_DataSet_Image_000094_Black_spot(1232).jpg","test","black_spot",".jpg","16506","True","224","224","Format24bppRgb","124,83","53,01"
"test\black_spot\local_DataSet_Image_000095_Black_spot(472).jpg","test","black_spot",".jpg","17284","True","224","224","Format24bppRgb","77,5","50,55"
"test\black_spot\local_DataSet_Image_000096_Black_spot(676).jpg","test","black_spot",".jpg","16697","True","224","224","Format24bppRgb","85,81","54,63"
"test\black_spot\local_DataSet_Image_000097_Black_spot(886).jpg","test","black_spot",".jpg","16587","True","224","224","Format24bppRgb","99,47","50,3"
"test\black_spot\local_DataSet_Image_000098_Black_spot(820).jpg","test","black_spot",".jpg","16506","True","224","224","Format24bppRgb","124,39","52,26"
"test\black_spot\local_DataSet_Image_000099_Black_spot(804).jpg","test","black_spot",".jpg","15846","True","224","224","Format24bppRgb","107,5","47,14"
