epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,147.267,1.29132,1.14435,1.54677,0.8681,0.76825,0.849,0.46437,1.57486,1.38106,1.93711,0.000665303,0.000665303,0.000665303
2,275.444,1.26798,1.01055,1.51654,0.8933,0.78744,0.88211,0.52771,1.44149,1.16366,1.71687,0.00133164,0.00133164,0.00133164
3,393.443,1.24485,0.98932,1.49748,0.90589,0.84743,0.91018,0.56737,1.37981,0.83935,1.65389,0.00199668,0.00199668,0.00199668
4,512.823,1.23197,0.97282,1.48462,0.9126,0.84349,0.92066,0.53219,1.50448,0.89752,1.79688,0.00199561,0.00199561,0.00199561
5,632.079,1.1764,0.92148,1.44897,0.91467,0.87105,0.93105,0.55367,1.41642,0.82035,1.70623,0.00199219,0.00199219,0.00199219
6,752.965,1.13994,0.88468,1.42574,0.93186,0.88492,0.94353,0.62727,1.20027,0.77608,1.52143,0.00198781,0.00198781,0.00198781
7,884.243,1.11423,0.83907,1.40723,0.94302,0.89659,0.95618,0.65022,1.14784,0.61849,1.46023,0.00198246,0.00198246,0.00198246
8,1018.3,1.09766,0.80668,1.39267,0.94241,0.89165,0.95282,0.65617,1.12717,0.68142,1.4696,0.00197616,0.00197616,0.00197616
9,1149.97,1.07284,0.79589,1.38206,0.94118,0.91496,0.9664,0.65251,1.15063,0.65534,1.47333,0.0019689,0.0019689,0.0019689
10,1275,1.07294,0.78189,1.38343,0.9419,0.91489,0.96309,0.68657,1.04086,0.61024,1.37716,0.00196069,0.00196069,0.00196069
11,1399.73,1.06999,0.76467,1.37375,0.94218,0.93078,0.97097,0.69939,1.02403,0.54025,1.33612,0.00195155,0.00195155,0.00195155
12,1524.73,1.01943,0.73621,1.35118,0.94465,0.92461,0.96919,0.70211,0.96548,0.53714,1.31039,0.00194147,0.00194147,0.00194147
13,1652.05,1.02514,0.71726,1.34584,0.94986,0.92701,0.96644,0.71756,0.94526,0.52805,1.30649,0.00193048,0.00193048,0.00193048
14,1782.59,1.03728,0.73137,1.35312,0.94925,0.94292,0.96975,0.73751,0.8863,0.47447,1.25573,0.00191858,0.00191858,0.00191858
15,1913.86,1.00151,0.69921,1.33225,0.94187,0.94056,0.97096,0.73363,0.90857,0.48578,1.27503,0.00190578,0.00190578,0.00190578
16,2037.68,1.00337,0.71507,1.33784,0.94002,0.93078,0.9693,0.70015,0.99372,0.51607,1.32431,0.0018921,0.0018921,0.0018921
17,2184.04,0.99299,0.68914,1.31958,0.94546,0.92606,0.96786,0.7349,0.90005,0.54199,1.28039,0.00187754,0.00187754,0.00187754
18,2308.2,0.99575,0.68626,1.32941,0.94,0.9225,0.96594,0.73625,0.86987,0.52847,1.26264,0.00186213,0.00186213,0.00186213
19,2436.22,0.98902,0.67122,1.31637,0.94684,0.95153,0.97789,0.73621,0.91978,0.49348,1.2673,0.00184588,0.00184588,0.00184588
20,2561.83,0.97392,0.67298,1.314,0.95359,0.94733,0.97671,0.75387,0.8405,0.43646,1.21741,0.00182881,0.00182881,0.00182881
21,2689.11,0.97769,0.65852,1.30693,0.95413,0.92701,0.97192,0.75894,0.82778,0.45408,1.19901,0.00181093,0.00181093,0.00181093
22,2823.45,0.97513,0.66145,1.31022,0.95364,0.95862,0.97868,0.71471,0.99042,0.46145,1.31028,0.00179225,0.00179225,0.00179225
23,2956.09,0.95762,0.64366,1.30262,0.96128,0.94206,0.97544,0.7591,0.82288,0.44162,1.20927,0.00177281,0.00177281,0.00177281
24,3090.58,0.95081,0.63787,1.30668,0.95622,0.93002,0.97347,0.76365,0.8229,0.45445,1.20332,0.00175261,0.00175261,0.00175261
25,3226.21,0.95699,0.642,1.30529,0.94785,0.94582,0.97586,0.76728,0.81058,0.43426,1.21576,0.00173168,0.00173168,0.00173168
